7.00,90.00,0.05,0.05,0
7.01,90.03,0.16,0.05,1
7.00,90.01,0.48,0.05,1
7.00,90.00,0.80,0.05,0
7.02,90.00,1.12,0.05,0
7.00,89.99,1.44,0.05,0
7.03,90.00,1.76,0.05,0
7.01,89.95,2.08,0.05,1
7.00,90.00,2.40,0.05,1
7.01,90.00,2.72,0.05,0
7.04,90.00,3.00,0.05,1
6.98,90.00,3.11,0.05,0
7.00,90.00,0.05,0.42,0
7.02,90.03,0.16,0.42,1
7.05,90.00,0.48,0.42,1
7.01,90.00,0.80,0.42,0
6.95,90.00,1.12,0.42,0
7.00,90.02,1.44,0.42,0
7.00,89.99,1.76,0.42,0
7.00,90.00,2.08,0.42,1
7.04,90.01,2.40,0.42,1
7.01,90.00,2.72,0.42,0
7.00,90.05,3.00,0.42,1
7.04,90.01,3.11,0.42,0
6.97,89.96,0.05,0.79,0
7.00,90.00,0.16,0.79,1
7.00,90.00,0.48,0.79,1
7.03,90.02,0.80,0.79,0
6.99,90.00,1.12,0.79,0
7.05,90.00,1.44,0.79,0
7.00,89.97,1.76,0.79,0
7.04,90.00,2.08,0.79,1
7.01,90.00,2.40,0.79,0
7.01,90.00,2.72,0.79,0
7.02,90.00,3.00,0.79,1
6.98,90.03,3.11,0.79,0
7.00,89.99,0.05,1.16,0
7.01,90.00,0.16,1.16,1
7.00,90.04,0.48,1.16,1
7.00,90.00,0.80,1.16,0
7.00,90.00,1.12,1.16,0
7.05,90.00,1.44,1.16,0
7.00,89.96,1.76,1.16,0
7.00,90.01,2.08,1.16,0
7.01,90.00,2.40,1.16,0
7.01,90.00,2.72,1.16,0
7.00,90.00,3.00,1.16,1
7.02,89.98,3.11,1.16,0
7.00,90.00,0.05,1.53,0
7.00,90.02,0.16,1.53,1
7.00,90.00,0.48,1.53,1
7.00,90.00,0.80,1.53,0
7.00,90.00,1.12,1.53,0
7.04,89.99,1.44,1.53,0
7.01,90.00,1.76,1.53,0
7.00,90.00,2.08,1.53,0
6.99,90.04,2.40,1.53,0
7.01,90.00,2.72,1.53,0
7.02,90.00,3.00,1.53,1
7.00,90.00,3.11,1.53,0
7.00,90.01,0.05,1.90,0
6.97,90.00,0.16,1.90,1
7.00,90.00,0.48,1.90,1
7.05,89.97,0.80,1.90,0
7.00,90.00,1.12,1.90,0
6.99,90.00,1.44,1.90,0
7.01,90.00,1.76,1.90,0
7.00,89.98,2.08,1.90,1
7.04,90.00,2.40,1.90,1
7.01,90.00,2.72,1.90,0
7.00,90.00,3.00,1.90,1
7.03,90.00,3.11,1.90,0
7.00,90.00,0.05,2.03,0
7.00,89.98,0.16,2.03,0
7.02,90.03,0.48,2.03,0
6.96,90.00,0.80,2.03,0
7.00,90.01,1.12,2.03,0
7.05,90.00,1.44,2.03,0
7.00,90.00,1.76,2.03,0
6.99,90.04,2.08,2.03,0
7.00,90.00,2.40,2.03,0
7.01,90.00,2.72,2.03,0
7.04,90.01,3.00,2.03,0
7.03,89.99,3.11,2.03,0
