7.00,90.00,0.88,1.63,0
7.01,90.03,0.18,1.88,1
7.05,90.00,2.97,1.89,1
7.01,90.00,1.88,0.37,0
6.97,89.96,0.04,0.55,0
7.02,89.98,3.03,0.13,1
7.00,90.00,1.96,1.18,1
7.03,90.02,1.28,1.86,1
7.04,90.00,2.80,0.20,1
7.00,90.00,0.44,0.96,1
7.03,90.02,2.68,1.31,1
7.01,90.03,2.69,1.47,1
7.05,90.00,1.28,1.33,0
7.01,90.00,0.64,0.46,0
6.97,89.96,0.29,1.34,0
7.02,89.98,0.17,0.38,1
7.02,89.98,1.73,1.62,0
7.00,90.00,2.06,1.52,0
7.03,90.02,2.70,1.00,1
7.04,90.00,0.23,0.39,1
7.01,90.03,1.42,1.38,0
7.05,90.00,0.18,1.37,1
7.01,90.00,1.43,0.59,0
6.97,89.96,1.77,0.08,0
7.00,90.00,2.87,1.66,1
7.01,90.03,0.25,1.77,1
7.05,90.00,0.77,0.06,1
6.97,89.96,0.65,2.05,0
7.00,90.00,2.11,0.89,1
7.05,90.00,2.95,1.06,1
7.01,90.00,1.76,2.03,0
6.97,89.96,3.11,0.76,0
7.01,90.03,0.05,0.12,0
7.00,90.00,0.16,1.63,1
7.00,90.00,0.20,0.97,1
